upi,district,sector,land_use,zoning,area_m2,distance_to_cbd_km,distance_to_paved_road_m,slope_deg,amenities_score
3/03/05/01/0083,Kicukiro,SectorA,Commercial,R3,1228,5.831156789513415,107.54766827239163,0.477070222277477,0.638972247365927
3/04/05/01/0084,Huye,SectorA,Agricultural,R2,1269,6.099778054673056,153.5080949021828,10.35592242944048,0.23144971187287916
3/05/05/01/0085,Gasabo,SectorC,Residential,A1,438,8.163198189661657,51.30841640127715,5.659289478631089,0.20207601950691725
3/06/05/01/0086,Musanze,SectorA,Agricultural,R1,1476,14.807597942135413,163.29424056626308,13.860626386611496,0.3888932264939235
3/07/05/01/0087,Musanze,SectorC,Commercial,R2,564,1.8727790751573803,48.58303211233687,1.9967539288121738,0.749732404322665
3/08/05/01/0088,Rubavu,SectorC,Mixed-use,C1,1497,7.263773135528365,162.12209360423182,3.637057554520945,0.4153945847595048
3/09/05/01/0089,Huye,SectorD,Commercial,R1,1496,3.9602720979516253,101.61171889248482,1.7964319772887682,0.912421824591916
3/00/05/01/0090,Musanze,SectorA,Agricultural,R2,266,10.083519764082064,146.47672001750382,8.76299227071254,0.7894579803159303
3/01/05/01/0091,Gasabo,SectorD,Mixed-use,R2,624,5.724255674206853,270.39598215777863,9.113328334403592,0.39548252437172365
3/02/05/01/0092,Nyarugenge,SectorA,Commercial,C2,861,4.154659167975395,112.78026180384701,7.317147012131069,0.880654014268917
3/03/05/01/0093,Rubavu,SectorB,Commercial,R1,958,1.7228966902431797,10.381532021366509,10.454421935496324,0.9978044278147156
3/04/05/01/0094,Rubavu,SectorB,Agricultural,C1,274,13.117099762515723,246.03626093003757,3.8685424056740976,0.33671006991205266
3/05/05/01/0095,Nyarugenge,SectorB,Residential,R2,1046,8.490514248628747,145.60274781729154,12.578738380539372,0.3640620481195673
3/06/05/01/0096,Kicukiro,SectorB,Agricultural,R3,923,8.10654530158237,76.51087106244867,1.722552371088053,0.6884960339533062
3/07/05/01/0097,Rubavu,SectorA,Commercial,R3,1044,8.456252055722203,20.287943362615938,5.049064172908809,0.3075317415511794
3/08/05/01/0098,Kicukiro,SectorD,Commercial,C2,1391,12.338242241964888,80.11899315531033,10.22254083335894,0.8081822879117493
3/09/05/01/0099,Nyarugenge,SectorC,Agricultural,A1,1318,14.013408019469562,250.0327252973801,14.475403659997689,0.2994377787884358
3/00/05/01/0100,Nyarugenge,SectorA,Commercial,C1,712,11.375689090060828,174.469568388074,12.627431651374081,0.3118179013010316
3/01/05/01/0101,Gasabo,SectorA,Commercial,C1,997,12.551857473699162,59.989471102502506,3.5353761909749966,0.7070068509761418
3/02/05/01/0102,Rubavu,SectorD,Residential,C2,1265,6.494231503916895,245.89683464411524,6.587023628553276,0.5015555435399262
3/03/05/01/0103,Nyarugenge,SectorA,Commercial,R1,1246,7.142425455436747,175.35844991730707,5.3304367772759385,0.5131856881612016
3/04/05/01/0104,Kicukiro,SectorB,Residential,R3,1262,2.6365725699170968,282.25047646597517,9.415620796071268,0.4679244917256689
3/05/05/01/0105,Musanze,SectorC,Mixed-use,C2,677,13.514496162713407,237.63617731123657,2.2751231959912674,0.4493776542364386
3/06/05/01/0106,Huye,SectorC,Mixed-use,R1,1477,3.863624304372486,215.6489042559662,7.40972230696294,0.8037082334880934
3/07/05/01/0107,Rubavu,SectorB,Residential,C1,415,9.455410209015175,153.1750625014464,8.097909556692551,0.5890859855964863
3/08/05/01/0108,Musanze,SectorD,Residential,R2,294,9.378197816873179,171.82496246027728,10.742686120994282,0.6792234918218611
3/09/05/01/0109,Musanze,SectorC,Commercial,R2,1071,9.167485126725687,123.25116794527376,6.93008705466199,0.9578266716894523
3/00/05/01/0110,Musanze,SectorB,Residential,A1,1433,9.56035929608507,10.34250422714795,13.081858634162272,0.9456946259868899
3/01/05/01/0111,Musanze,SectorD,Agricultural,C2,1087,1.3223164670269252,197.1533272415326,11.56870002779607,0.49954829577633764
3/02/05/01/0112,Gasabo,SectorB,Mixed-use,C2,978,7.3117511996578495,38.4052235230228,14.77261798443502,0.8711184691567473
3/03/05/01/0113,Rubavu,SectorC,Residential,R1,766,4.183538692279576,184.3288461693063,5.6895854757832325,0.7953997214746311
3/04/05/01/0114,Kicukiro,SectorD,Residential,C2,1136,2.5997422007796285,127.27885234007016,12.952772109194354,0.938368185438788
3/05/05/01/0115,Kicukiro,SectorC,Commercial,R3,839,4.144467521159747,138.46965725914455,2.112855305696998,0.3411095892049787
3/06/05/01/0116,Musanze,SectorB,Residential,R1,376,11.926939905645227,86.88821592567835,3.301458211216456,0.37014462747298105
3/07/05/01/0117,Gasabo,SectorC,Residential,C1,888,8.80227516446067,258.8864452777665,8.026045784004879,0.3475702971350849
3/08/05/01/0118,Gasabo,SectorD,Residential,A1,414,6.975044674714492,240.93569651190947,5.240804985739995,0.5745854627531035
3/09/05/01/0119,Gasabo,SectorA,Residential,A1,1367,8.90777586567663,24.38404863136395,11.63291425042516,0.5626310677984221
3/00/05/01/0120,Kicukiro,SectorB,Agricultural,R1,313,7.958167283497486,230.780102914541,1.5447221899697328,0.46749024904838576
3/01/05/01/0121,Nyarugenge,SectorD,Commercial,R2,361,6.722278395373349,12.488974919801734,2.3422889604928554,0.7727777830779181
3/02/05/01/0122,Huye,SectorD,Residential,R1,958,4.55443989660626,62.85336440956858,7.582618186590507,0.6760391837603366
3/03/05/01/0123,Gasabo,SectorC,Residential,R3,1274,10.138445509926246,75.26392040878433,1.4916208913901774,0.39453775279956327
3/04/05/01/0124,Rubavu,SectorD,Agricultural,A1,690,14.477090459768245,283.60086904529567,2.1162277316657034,0.5251138466188177
3/05/05/01/0125,Kicukiro,SectorC,Commercial,R1,350,12.87379333653637,41.219182450499005,13.146661138129407,0.7143404508914026
3/06/05/01/0126,Kicukiro,SectorB,Residential,C2,945,12.551502639917237,112.10246759755171,0.5134216623079368,0.8645236052521998
3/07/05/01/0127,Huye,SectorB,Agricultural,A1,1104,7.105771407894434,91.86739906486571,14.226799604432351,0.8108846353278087
3/08/05/01/0128,Gasabo,SectorB,Commercial,R3,327,3.5494999435021652,148.0096183093521,7.686864838228824,0.7933495553829324
3/09/05/01/0129,Kicukiro,SectorA,Residential,R1,1458,6.903855083745945,44.02148228197247,13.508584518545785,0.7529774860877236
3/00/05/01/0130,Huye,SectorC,Commercial,R2,327,2.648515160461976,175.07236027670479,4.11082831030809,0.6433424020126348
3/01/05/01/0131,Gasabo,SectorB,Commercial,C1,541,2.916398820963302,270.505499345191,13.108351163437728,0.6779304817362466
3/02/05/01/0132,Musanze,SectorA,Residential,C2,654,9.02612129451161,252.24155413759726,6.065722523235364,0.8167291016514164
3/03/05/01/0133,Rubavu,SectorD,Commercial,C1,1018,2.26471744808651,232.44084803296616,1.0237455803113737,0.8696631925624236
3/04/05/01/0134,Nyarugenge,SectorD,Agricultural,R1,386,5.15970401872445,172.08936888758467,7.140756032986495,0.7309369322901185
3/05/05/01/0135,Rubavu,SectorB,Residential,R1,950,4.671696620197551,180.54798955657517,0.7713872022637552,0.5970929977609891
3/06/05/01/0136,Huye,SectorC,Commercial,R1,353,7.6393223218051745,106.59320095304881,5.273102417013282,0.5302348404854018
3/07/05/01/0137,Huye,SectorC,Agricultural,R2,224,4.449628465347495,246.63518371388892,11.991238184534689,0.7557571766835414
3/08/05/01/0138,Rubavu,SectorB,Commercial,C1,474,5.404351795331753,243.19192428594457,14.431481786461765,0.8320108470334848
3/09/05/01/0139,Gasabo,SectorC,Residential,C1,415,11.61749379523954,193.49006867360723,11.385537683082747,0.7792826634185108
3/00/05/01/0140,Rubavu,SectorD,Residential,R2,1312,10.053308867640288,209.48668737979278,0.77393709988065,0.7359339716400315
3/01/05/01/0141,Kicukiro,SectorD,Mixed-use,R1,1180,7.624941653138667,97.29218266914832,1.8078386817969667,0.7848189371666254
3/02/05/01/0142,Nyarugenge,SectorD,Agricultural,R2,1026,14.219730847588075,144.89319391395182,12.930639764839702,0.8756395188280564
3/03/05/01/0143,Kicukiro,SectorC,Commercial,R1,1382,6.105761492402282,170.39977223103662,7.215928257661297,0.9079986852186248
3/04/05/01/0144,Nyarugenge,SectorD,Commercial,C1,238,5.414064729628545,164.14993125072448,11.860847472584453,0.45500200234565596
3/05/05/01/0145,Kicukiro,SectorA,Agricultural,C2,1331,4.2614326465508725,12.198230559178716,13.051483108513949,0.2170155286803097
3/06/05/01/0146,Huye,SectorA,Commercial,R3,1262,1.132796070798973,20.541731613282433,1.328151159204272,0.2300774185650087
3/07/05/01/0147,Musanze,SectorA,Agricultural,C1,1462,6.576023375658898,32.051303857871886,5.045556957426331,0.6180153533076185
3/08/05/01/0148,Gasabo,SectorB,Residential,R3,1365,5.158040270368351,256.58243739911086,10.733299728513629,0.6712868275767159
3/09/05/01/0149,Gasabo,SectorA,Commercial,R1,598,6.380573060235544,205.4959483944556,3.2738083179759627,0.9599689471601802
3/00/05/01/0150,Huye,SectorA,Mixed-use,C1,909,14.752627211121142,265.8386985487934,9.01197669663297,0.9229791737402164
3/01/05/01/0151,Kicukiro,SectorA,Mixed-use,C1,971,4.243403819368208,283.1058733698621,9.744699734885527,0.6861894359030873
3/02/05/01/0152,Huye,SectorB,Commercial,R3,425,6.377268560877494,15.83592154085102,14.359053944749885,0.8609645566351727
3/03/05/01/0153,Huye,SectorA,Commercial,R1,1322,9.361837014024774,159.8842927537791,3.9035005192729093,0.6121983394517807
3/04/05/01/0154,Kicukiro,SectorB,Residential,R3,359,7.487330475018679,188.76652796586,11.218074061383428,0.22789212818705995
3/05/05/01/0155,Musanze,SectorB,Residential,R2,1490,13.284452076825325,83.35201256366828,1.9427238192420626,0.9109984638951818
3/06/05/01/0156,Gasabo,SectorB,Agricultural,R2,720,5.606719115178194,279.818899054102,11.028189817851791,0.42511276846202145
3/07/05/01/0157,Musanze,SectorC,Commercial,R3,1399,7.942260291102791,28.90863369275614,3.3027480292471703,0.7466070109276768
3/08/05/01/0158,Huye,SectorA,Residential,R2,1263,13.360687767924459,157.24331103086692,13.5977057916687,0.6570551535356592
3/09/05/01/0159,Kicukiro,SectorD,Mixed-use,C2,1485,8.29764437052581,261.10743719520633,3.6792829838300185,0.3258725277620208
3/00/05/01/0160,Gasabo,SectorA,Mixed-use,C2,1393,2.481677313600176,211.20226772167837,2.8383230967750883,0.9053097062162803
3/01/05/01/0161,Huye,SectorB,Residential,R3,1254,12.561434507906677,43.01661090466634,5.026782813887128,0.7948066050332863
3/02/05/01/0162,Kicukiro,SectorD,Commercial,A1,788,8.104548272651707,6.883832156465906,4.305571997623692,0.6935415347005938
3/03/05/01/0163,Gasabo,SectorA,Residential,R2,899,1.1270136651381495,246.51042904745333,1.9267307713978705,0.4266743586124653
3/04/05/01/0164,Kicukiro,SectorA,Agricultural,R2,771,3.5129625279336674,227.34115604490316,11.832104728061164,0.33900278024605346
3/05/05/01/0165,Musanze,SectorB,Agricultural,R3,391,10.914409241033942,24.86842743328765,8.732556902644099,0.4767064455623654
3/06/05/01/0166,Kicukiro,SectorD,Mixed-use,R2,505,14.862077218509059,204.43541587009256,6.689374605154822,0.7180589147215262
3/07/05/01/0167,Musanze,SectorA,Agricultural,C2,1106,12.501181263704174,114.69089112542376,12.281784650356405,0.4020069997507058
3/08/05/01/0168,Kicukiro,SectorB,Commercial,R2,715,6.9665382313036215,138.15917217725428,2.4543573178750377,0.8358476389999436
3/09/05/01/0169,Huye,SectorC,Agricultural,R2,1173,4.220751562440075,43.74386229076653,13.020814837984393,0.9705893227521056
3/00/05/01/0170,Musanze,SectorA,Residential,C2,283,6.56632157147912,85.89348469285765,14.759664719397424,0.5274672050520344
3/01/05/01/0171,Musanze,SectorB,Mixed-use,R2,1386,1.435877160383159,197.2417134858861,5.527895155856417,0.8914865998717096
3/02/05/01/0172,Nyarugenge,SectorD,Agricultural,A1,1184,13.160724351378551,234.09607157356382,11.56382766966078,0.8758265824935101
3/03/05/01/0173,Musanze,SectorC,Mixed-use,C2,1159,5.118351626808691,273.99163031317374,14.512668954206665,0.3483670997413235
3/04/05/01/0174,Gasabo,SectorB,Commercial,R1,1459,4.465559378447252,169.7317384120434,3.3831021366560314,0.3286603752625521
3/05/05/01/0175,Rubavu,SectorB,Residential,C2,585,12.165827408920634,96.55677788245426,6.828302236227018,0.2092964319264805
3/06/05/01/0176,Kicukiro,SectorB,Agricultural,R2,806,11.10642679097709,198.81023798152546,11.35588901416835,0.9621189104309738
3/07/05/01/0177,Gasabo,SectorD,Mixed-use,A1,1311,3.0429090364920364,35.32375932533638,8.563567527662464,0.214694109552432
3/08/05/01/0178,Rubavu,SectorB,Agricultural,C1,872,8.835081568816797,7.882399988659179,4.896919623659878,0.6141693147077691
3/09/05/01/0179,Gasabo,SectorA,Residential,A1,788,2.1000989601702904,122.09236647947084,1.9907363106459053,0.6540326786092465
3/00/05/01/0180,Rubavu,SectorB,Commercial,R2,305,3.3447561516269766,35.84751289864808,9.54645374315455,0.7651805811895209
3/01/05/01/0181,Rubavu,SectorA,Commercial,R1,422,8.578148694214986,214.17285323802034,13.064536856191284,0.7712695457059422
3/02/05/01/0182,Rubavu,SectorD,Commercial,R3,582,2.1216078493854518,268.97091353785567,8.213885642306044,0.8538382159699951
3/03/05/01/0183,Kicukiro,SectorC,Mixed-use,R1,1073,7.140501030853537,218.8238351628472,8.899179724652681,0.7202353486987632
3/04/05/01/0184,Gasabo,SectorA,Mixed-use,R2,1370,14.662113581467839,104.38425857247653,2.731768735330489,0.8317588057139833
3/05/05/01/0185,Nyarugenge,SectorD,Commercial,A1,1113,10.145682269322622,103.03281447975714,8.137179535790512,0.5946214774270397
3/06/05/01/0186,Musanze,SectorB,Mixed-use,R3,644,2.010777725708462,14.042488150712789,3.865243327668205,0.5700983653914531
3/07/05/01/0187,Rubavu,SectorA,Mixed-use,R2,1156,12.84743408826669,190.4856213707538,11.03025447998629,0.8141791104534242
3/08/05/01/0188,Musanze,SectorD,Commercial,R1,1146,9.101455720013508,134.39154866092917,10.878864906227047,0.5893351531397624
3/09/05/01/0189,Kicukiro,SectorC,Commercial,C1,494,4.875589161290722,179.74334693504187,13.685450184250364,0.3685297512045333
3/00/05/01/0190,Huye,SectorB,Agricultural,C2,1110,4.301089315428938,233.9200610754517,6.079652746286151,0.6814843069296068
3/01/05/01/0191,Kicukiro,SectorD,Commercial,A1,201,3.5336773379328568,257.0436025440258,7.384167846720522,0.39778485952254167
3/02/05/01/0192,Musanze,SectorA,Mixed-use,A1,703,9.11180859080901,200.4732773074545,1.4289226193193945,0.7216985964243503
3/03/05/01/0193,Gasabo,SectorA,Agricultural,R2,1386,10.194313303578092,100.931068946285,11.60209688529901,0.3046989285746799
3/04/05/01/0194,Huye,SectorC,Mixed-use,R3,1233,2.0289544626201774,55.07858200082452,7.796609228340265,0.4696025411450291
3/05/05/01/0195,Rubavu,SectorA,Residential,C2,1499,9.230381195545418,284.83208968117293,3.787916731131289,0.4874005983329965
3/06/05/01/0196,Musanze,SectorA,Mixed-use,C2,886,10.293263386705272,145.0161083461951,12.662556734537956,0.8445361223600425
3/07/05/01/0197,Musanze,SectorC,Mixed-use,A1,819,8.558681753030974,15.085390952051663,14.800394705357423,0.2983766468237014
3/08/05/01/0198,Huye,SectorD,Commercial,C2,1224,2.709538796140375,138.3987133436134,14.008125262918574,0.4529248839814004
3/09/05/01/0199,Gasabo,SectorC,Commercial,C1,689,6.5633058385016145,146.5696390696616,10.289516039744761,0.2139038321483837
3/00/05/01/0200,Gasabo,SectorB,Residential,R1,1262,7.366357978874028,157.10082843087883,7.3326987038538025,0.7334914060368836
3/01/05/01/0201,Musanze,SectorC,Agricultural,A1,507,10.865530678313053,64.54676837626977,10.10148649987376,0.9759296368858164
3/02/05/01/0202,Gasabo,SectorC,Agricultural,C2,716,14.486855659485586,80.31542479488739,9.924485255567202,0.9829050299204243
3/03/05/01/0203,Nyarugenge,SectorB,Commercial,R2,1368,12.632280678783877,260.0596066067358,11.527790467856867,0.2904878552612584
3/04/05/01/0204,Gasabo,SectorB,Agricultural,R1,1224,4.01945213356804,199.37121371863387,5.907966084812378,0.7209863816331936
3/05/05/01/0205,Kicukiro,SectorB,Agricultural,R2,1209,9.469354917667571,98.84290831734525,12.99658001291468,0.9946695498869029
3/06/05/01/0206,Huye,SectorA,Residential,C2,1382,11.338288929518571,264.1620905838976,6.062104824765495,0.461626529250591
3/07/05/01/0207,Rubavu,SectorC,Commercial,R2,596,12.169391084020884,133.49707786981523,12.267513242625323,0.2961672442964868
3/08/05/01/0208,Rubavu,SectorC,Residential,C2,1288,6.13046148819957,121.87094402473033,10.432008100347932,0.5108464810162766
3/09/05/01/0209,Gasabo,SectorA,Residential,R1,490,4.181774781684121,26.592797511690872,9.051728900720668,0.734570238844013
