upi,district,sector,land_use,zoning,area_m2,distance_to_cbd_km,distance_to_paved_road_m,slope_deg,amenities_score,sale_price,price_per_m2
3/04/05/01/4624,Kicukiro,SectorD,Residential,R1,1343,10.827503655348313,271.8184353450185,14.582287276867683,0.4321798445417244,85818198.70199245,63900.371334320516
3/03/05/01/0203,Nyarugenge,SectorB,Commercial,R2,1368,12.632280678783877,260.0596066067358,11.527790467856867,0.2904878552612584,140319975.0598736,102573.08118411814
3/03/05/01/1763,Nyarugenge,SectorA,Agricultural,R3,487,9.322633968776666,106.74230638108908,0.5235878860966392,0.6333132062664425,24140434.709973905,49569.681129309865
3/08/05/01/0158,Huye,SectorA,Residential,R2,1263,13.360687767924459,157.24331103086692,13.5977057916687,0.6570551535356592,48828633.18993238,38660.83387959809
3/08/05/01/2738,Musanze,SectorA,Commercial,R3,688,10.594742946898988,126.97993099063564,5.423332438053924,0.7903584066266565,40039444.79767218,58196.867438477006
3/01/05/01/0081,Huye,SectorB,Commercial,C2,404,3.9278310750991983,175.99673066916282,5.123448156848175,0.6298107333712561,21585436.416194383,53429.298059887085
3/05/05/01/0495,Musanze,SectorD,Mixed-use,R3,309,9.828133182163292,69.81350316546312,0.30781222093987815,0.8612946764019911,15674999.819957206,50728.154757143064
3/05/05/01/1435,Gasabo,SectorC,Residential,C1,1425,12.022561724403534,295.3286630475484,0.29852225610116745,0.7592219312336761,100205264.5471901,70319.48389276498
3/02/05/01/2462,Musanze,SectorA,Mixed-use,R1,811,13.980572764310867,297.03081068158485,8.719240979415893,0.28710529282493263,35991459.571322605,44379.11167857288
3/09/05/01/2709,Huye,SectorB,Commercial,C1,305,14.72646289153763,298.8644832063903,7.148822683794521,0.9710471756967998,16760834.219237547,54953.554817172284
3/08/05/01/2758,Rubavu,SectorB,Commercial,A1,1370,3.911332766969349,197.98541740286572,2.0405787524970753,0.4320779574091785,81466446.32493457,59464.55936126611
3/08/05/01/1568,Musanze,SectorA,Agricultural,R1,1187,4.71253225182452,251.39743658271072,4.90637259002458,0.5904481250157303,30206407.15788381,25447.68926527701
3/09/05/01/1079,Rubavu,SectorC,Mixed-use,A1,303,1.6882516081706742,14.161778430370905,8.312718831731981,0.8096261768312409,16482568.158806179,54397.914715531944
3/02/05/01/1262,Huye,SectorA,Residential,R2,1240,8.449858354152934,123.68131246848246,2.4239693393703177,0.29468328106127006,45338565.21191647,36563.35904186812
3/06/05/01/0486,Rubavu,SectorB,Mixed-use,R1,292,14.282421532095954,22.878447775898387,10.280930151690086,0.21997297769604574,13749271.27686649,47086.545468720855
3/01/05/01/0331,Huye,SectorC,Commercial,C2,1436,12.312316818691741,68.73515267844772,6.999116770458238,0.8533785620468357,78238775.05349037,54483.82663892087
3/04/05/01/3914,Kicukiro,SectorB,Agricultural,C2,286,6.594011621999181,129.07380240366518,9.489389807267079,0.604340235864625,11512004.268062519,40251.76317504377
3/04/05/01/1084,Nyarugenge,SectorC,Agricultural,A1,223,9.45257201372658,53.35985768119481,11.03930340772767,0.4409850358351266,10529027.768215256,47215.37115791594
3/04/05/01/3504,Nyarugenge,SectorA,Agricultural,R3,425,3.7536096371203045,58.41388298513254,8.292456485799544,0.9237620053655882,22268039.136124868,52395.38620264675
3/03/05/01/4983,Gasabo,SectorD,Mixed-use,R1,713,2.0854656151318958,299.09110502088424,4.044444419442078,0.3128425321030432,53701962.24320452,75318.32011669638
3/01/05/01/1221,Huye,SectorC,Commercial,R3,1167,1.894129226774334,14.327911280051866,3.8775085154939095,0.9205328672869026,65908147.159005545,56476.56140446062
3/03/05/01/2043,Rubavu,SectorC,Agricultural,R1,1122,4.075445491925904,147.17356242085262,0.6370636573261701,0.5700271883026404,30215420.759106096,26929.965025941263
3/01/05/01/1981,Gasabo,SectorB,Commercial,R1,527,11.625081687178747,39.880261839247666,5.549497416088042,0.3211861733231083,45888650.86160027,87075.23882656598
3/09/05/01/3929,Gasabo,SectorB,Commercial,R3,1453,13.663057977053104,241.6617493070052,3.6514638751470416,0.4598360523295467,129601499.58412488,89195.80150318299
3/09/05/01/0529,Musanze,SectorC,Commercial,R3,1465,8.84811732601468,283.084457205156,1.2410105943550613,0.40315021753895697,79240208.14535245,54088.87928010406
3/02/05/01/4042,Huye,SectorD,Agricultural,C1,1230,10.28299556679916,171.54612664735512,13.859665220489108,0.2812897213609706,26368377.354101714,21437.705165936353
3/03/05/01/0273,Gasabo,SectorC,Residential,R2,1030,4.088567337956958,181.47646174880296,11.034946713587848,0.9986780091143597,76734523.96752578,74499.53783254931
3/02/05/01/1162,Nyarugenge,SectorA,Agricultural,A1,1401,12.599423634141118,237.54118641039474,3.8855271615502076,0.7669413759724055,69793538.32893583,49816.94384649239
3/07/05/01/1117,Huye,SectorA,Commercial,C2,326,9.61687343533407,227.3652773204925,6.708206111906776,0.447783377401064,16602950.553652432,50929.29617684795
3/07/05/01/2507,Huye,SectorC,Residential,A1,1343,12.056224083456998,276.8545782430483,1.7860650110177874,0.3305119009823064,48376029.11736061,36020.87052670187
3/06/05/01/3516,Nyarugenge,SectorC,Mixed-use,R2,1147,11.56448911890895,171.20364191204317,11.336636086984978,0.8878237239763973,112776118.22671655,98322.68371989237
3/01/05/01/0511,Kicukiro,SectorB,Commercial,R1,1070,14.092409214170907,115.86247967459545,10.621827523509381,0.5805502544087671,95062716.44383498,88843.66022788316
3/00/05/01/1150,Huye,SectorA,Agricultural,C1,600,6.137974061755091,36.306998476646214,10.32967578396585,0.9829232650703721,15019025.189134829,25031.708648558048
3/00/05/01/3680,Huye,SectorB,Residential,C1,406,14.673107779218547,71.09546154954326,8.42293609581664,0.5203630469453958,15309156.52227804,37707.282074576455
3/06/05/01/2036,Gasabo,SectorA,Residential,A1,827,6.598021731921017,111.43801374249661,12.395388152625062,0.5617112440979579,56468152.08421298,68280.71594221643
3/06/05/01/2376,Kicukiro,SectorC,Agricultural,C2,505,14.611099193538077,293.5759822315055,7.068349963556148,0.3301992862259045,18771423.990064822,37171.13661398974
3/06/05/01/3486,Rubavu,SectorD,Residential,A1,955,6.008080275400598,5.670717783512189,4.168909680643713,0.6116428374128917,43413492.9578363,45459.15492967152
3/05/05/01/3025,Kicukiro,SectorC,Residential,R3,1006,7.07881439168415,222.77026956415023,11.685172830492704,0.8156851118244197,69763789.90927443,69347.70368715152
3/01/05/01/3021,Musanze,SectorA,Agricultural,C1,496,10.915875559201304,246.27688392798103,8.15723260263999,0.7401299432781336,12706245.40015179,25617.43024224151
3/01/05/01/1421,Huye,SectorD,Residential,C2,987,11.91746145872401,236.25795734685684,7.78920123592907,0.8863615563218692,40069842.484967835,40597.611433604696
3/04/05/01/3054,Musanze,SectorD,Residential,A1,993,14.951757514462333,283.88355256954077,10.94129989881385,0.6465141827525243,41047079.581992365,41336.434624362904
3/02/05/01/0902,Gasabo,SectorC,Mixed-use,A1,1257,1.6943091150812057,32.93089219891454,0.4928504661059452,0.5993358666101294,101103731.40485714,80432.5627723605
3/04/05/01/1154,Kicukiro,SectorC,Residential,R2,1407,1.341976361168865,126.46556193912174,4.994253704435599,0.7355296514029148,97905838.78620067,69584.81790064013
3/01/05/01/3451,Kicukiro,SectorC,Residential,R2,983,8.045244833954303,276.01382337154195,6.277193667859967,0.883859050613254,69519659.5956234,70721.93244722625
3/07/05/01/4497,Musanze,SectorC,Mixed-use,R3,524,4.605734136835542,133.24892356201823,3.1431860640275855,0.23054796214363843,23572030.981272426,44984.79194899318
3/04/05/01/4734,Musanze,SectorB,Residential,A1,1107,3.2097797522208884,209.6523566872238,8.634463351375759,0.7928862376151078,48042297.08578108,43398.64235391245
3/06/05/01/4006,Gasabo,SectorA,Agricultural,R3,671,6.409404601473334,221.49688362151292,9.340073761929805,0.5875770595018863,27719318.03082658,41310.459062334696
3/00/05/01/2010,Musanze,SectorB,Agricultural,R2,603,14.756294608148231,243.26873290388556,10.647446884230972,0.7417279663378566,15411396.239372946,25557.871043736228
3/00/05/01/3120,Huye,SectorC,Agricultural,R1,901,8.479786812426767,292.9735129198352,14.733325857062281,0.27845549592508356,19525791.75401282,21671.245010003127
3/07/05/01/4907,Gasabo,SectorB,Agricultural,C1,428,10.214165592138054,70.14790982399187,6.117634670243738,0.5471379913058799,17597636.418459576,41115.97294032611
3/05/05/01/2175,Nyarugenge,SectorA,Residential,C1,522,1.8588658114770442,271.7715597362457,11.850829586063263,0.38322006343344184,41056331.92244008,78651.97686291204
3/00/05/01/2650,Nyarugenge,SectorD,Mixed-use,A1,542,10.405887566411318,149.944007656398,11.734040259033415,0.5954282491238794,51193297.42220186,94452.57826974512
3/04/05/01/1664,Huye,SectorB,Residential,A1,347,7.3617365179404946,144.87725148284696,7.017941060411735,0.2266036857700865,12408004.159949161,35757.93706037222
3/08/05/01/3628,Rubavu,SectorD,Agricultural,C1,651,11.226247245790827,122.07522043822651,8.553429467200116,0.43471238091330255,16804090.787126064,25812.735464095338
3/00/05/01/1870,Nyarugenge,SectorD,Commercial,R1,1204,13.509420025453819,281.9731834726807,11.70659459866766,0.9369985186621557,139288733.17206624,115688.31658809488
3/09/05/01/2129,Gasabo,SectorA,Commercial,C2,1369,3.997627407781098,167.77575737626057,14.68729859627233,0.25875575280460916,118392183.10569413,86480.77655638724
3/00/05/01/2750,Gasabo,SectorA,Mixed-use,C2,491,3.2699863044585356,35.48547152898268,4.038842738984721,0.6555536152169947,40017784.93464576,81502.6169748386
3/04/05/01/3624,Kicukiro,SectorC,Agricultural,C1,1171,13.803673107416184,256.1193301571044,6.824605426168175,0.20015588986985372,42632901.808280356,36407.260297421315
3/05/05/01/4255,Rubavu,SectorC,Residential,R2,1002,14.631790164308486,73.2474085998705,11.934132887654078,0.627398096861586,44461015.58260153,44372.27104052049
3/06/05/01/4956,Musanze,SectorA,Agricultural,A1,1187,2.8847686690534275,233.6185129902146,7.561873733067938,0.9430460603159856,32070238.511746917,27017.892596248457
3/04/05/01/4764,Huye,SectorC,Mixed-use,R3,686,7.280572393929005,160.84576585266734,3.9560804585656024,0.9884813342406948,33070121.540584803,48207.17425741225
3/04/05/01/2334,Gasabo,SectorC,Residential,C2,495,14.17427751776128,262.05041566350127,7.671642508764346,0.6521811049366646,33877795.019421495,68439.98993822525
3/00/05/01/2550,Gasabo,SectorC,Mixed-use,R3,663,8.19008362978448,57.34661350327934,8.482294250012549,0.5512346083755624,51895810.47686743,78274.2239470097
3/08/05/01/2188,Rubavu,SectorB,Residential,C1,618,7.372566862679664,141.32390219701693,6.425135854850485,0.6251186455970578,27555496.825235397,44588.18256510582
3/08/05/01/2988,Musanze,SectorA,Agricultural,A1,1255,13.77799720951248,148.61873392119563,12.068127015184436,0.7651284262801827,32168767.01294775,25632.483675655578
3/02/05/01/2982,Nyarugenge,SectorA,Agricultural,A1,1459,7.9788631784818,60.258992812063546,9.506822983609378,0.6723498246231319,72555114.91384472,49729.345383032705
3/06/05/01/0596,Rubavu,SectorB,Agricultural,C2,884,2.612046497532816,265.565712420736,6.222384832820279,0.509819529139873,23413635.16786925,26486.012633336257
3/00/05/01/1110,Kicukiro,SectorC,Residential,R1,667,12.505220429558804,231.9289149762681,8.950844851593256,0.4697616281351622,42700506.68813607,64018.750656875665
3/06/05/01/3146,Huye,SectorD,Commercial,R3,298,4.984130346667085,128.88685012359676,5.764764531875576,0.8816760144376363,16582909.569848701,55647.34754982786
3/03/05/01/1723,Kicukiro,SectorB,Residential,A1,298,13.43062573659649,124.23748948462,9.370992778434216,0.9113905100214605,20688134.28334811,69423.26940720843
3/00/05/01/1780,Rubavu,SectorA,Agricultural,R2,419,2.9175117333301275,149.03113318286202,3.8833311295575674,0.8036186459404517,11795016.545646654,28150.397483643566
3/07/05/01/1267,Kicukiro,SectorD,Commercial,R1,861,11.300051814893537,67.45644964627988,2.1792901461867995,0.4530338789804995,75107710.50362723,87233.11324463092
3/00/05/01/1310,Gasabo,SectorB,Agricultural,C2,641,8.185020384913727,177.83979298906328,2.6941310824095432,0.7880185585425366,27382663.526219957,42718.66384745703
3/07/05/01/2987,Gasabo,SectorD,Agricultural,R3,564,12.195503245847398,40.47427317854015,1.87085655078387,0.9582902173079686,24695460.633880127,43786.277719645615
3/05/05/01/4355,Kicukiro,SectorA,Mixed-use,R3,375,14.895867421316357,94.1801332322377,10.20380509719118,0.38524814515141315,26989328.598231945,71971.54292861852
3/09/05/01/4549,Huye,SectorA,Residential,R1,1027,6.340584807801543,220.47411242377103,3.194433868959206,0.500276682706057,39026763.21356612,38000.74314855513
3/07/05/01/1607,Rubavu,SectorD,Mixed-use,R2,315,4.0167477589980445,299.57527330309523,6.49614153880189,0.7623725308357148,16819064.7778634,53393.85643766158
3/03/05/01/4923,Kicukiro,SectorA,Commercial,R1,547,2.8962316279357996,226.84125069413767,13.282208527982148,0.42307222436946273,47592997.030945614,87007.30718637224
3/04/05/01/1834,Gasabo,SectorD,Commercial,C1,633,14.307705207212589,189.49230081472174,12.254526757123143,0.7228485804361544,59344927.16354706,93751.85965805223
3/02/05/01/3372,Nyarugenge,SectorA,Residential,R3,1242,10.703228622774022,23.231846673315246,11.083113405695594,0.7999701773760215,105586310.72115462,85013.13262572835
3/09/05/01/4639,Nyarugenge,SectorC,Commercial,R1,448,13.639738697973744,53.19763329108292,4.7363596601093025,0.5990155612441046,49419672.068258904,110311.76800950649
3/09/05/01/0819,Rubavu,SectorD,Commercial,C2,690,11.304495605964917,99.40475336078056,7.590670386177549,0.33000885223796506,39418749.279237926,57128.62214382308
3/00/05/01/4830,Musanze,SectorD,Agricultural,C1,686,1.5897922747821667,142.52208859858246,8.874692950867425,0.4589615130451531,16969891.245171756,24737.450794711014
3/03/05/01/0683,Rubavu,SectorC,Commercial,R2,329,6.295143213406827,157.60157723491469,6.196610965907164,0.35947639157694655,19151576.817172036,58211.47968745299
3/03/05/01/2123,Kicukiro,SectorA,Agricultural,R1,1045,6.855577745584671,211.18365997883896,14.991886007796031,0.7681135060500226,42760467.11650771,40919.10728852412
3/09/05/01/1749,Gasabo,SectorC,Commercial,C1,1160,3.9767246546703827,115.42916534053818,4.081262363669665,0.27065017697486227,101994564.66559009,87926.34884964663
3/02/05/01/4802,Musanze,SectorD,Mixed-use,C2,1062,2.653622970891727,267.5942490047111,6.846519481003724,0.23799912689432112,47980136.554673985,45179.03630383615
3/03/05/01/1113,Nyarugenge,SectorA,Commercial,C1,858,1.8856774054894472,182.8890896925535,0.8569907901499496,0.9150193502095558,101802779.21426809,118651.25782548728
3/03/05/01/1603,Nyarugenge,SectorB,Mixed-use,C2,1257,14.436849744728459,191.75523991020657,8.312905449230973,0.7642850690843366,120415106.69483338,95795.62982882529
3/05/05/01/2225,Nyarugenge,SectorB,Commercial,C1,335,6.866817581283335,206.3305318195488,5.300975301114817,0.7029359413586345,37634796.31457261,112342.67556588839
3/08/05/01/4848,Gasabo,SectorC,Residential,R3,968,12.827134317339187,298.97938027312887,14.364069272604727,0.5062778680301634,64060145.029827476,66177.83577461516
3/06/05/01/1476,Kicukiro,SectorA,Mixed-use,C2,1389,12.554221872798005,24.59107400995618,2.562902990796972,0.44889654460771794,103240877.68605019,74327.48573509733
3/05/05/01/2045,Gasabo,SectorD,Mixed-use,C2,1455,12.46794092852285,168.93254451248887,7.271120360995381,0.8680239690134777,119945538.02472046,82436.79589327867
3/02/05/01/1002,Kicukiro,SectorD,Mixed-use,A1,858,8.256534922557528,141.2329120607955,4.716511587171081,0.664774869305274,66222729.48947082,77182.66840264664
3/01/05/01/2331,Rubavu,SectorD,Agricultural,R3,1280,4.196345958752493,111.57221007576649,0.32955856203761125,0.9630155169702617,37202251.87260096,29064.2592754695
3/09/05/01/3749,Gasabo,SectorB,Residential,R1,560,10.145573878956709,53.026084205906685,14.461360969585444,0.6445383271520956,38608463.06840882,68943.68405073004
3/08/05/01/4888,Nyarugenge,SectorC,Commercial,R2,291,5.739169338986894,251.4134276806594,11.593493744083219,0.5937984808298903,32045680.14314832,110122.61217576743
3/00/05/01/0800,Musanze,SectorD,Commercial,C2,875,3.663191031481926,158.66130589670036,7.035896165851785,0.256829937122673,46598423.87496039,53255.34157138331
3/06/05/01/1956,Musanze,SectorA,Agricultural,R3,1018,2.214405816726936,39.52815150614701,10.727878059804734,0.2598266047672672,24153851.082383398,23726.769236133005
3/02/05/01/4032,Nyarugenge,SectorA,Mixed-use,R1,806,5.386028042464604,31.7301036570608,5.207257065261086,0.3271969883595477,72723668.29219897,90227.87629305084
3/06/05/01/4846,Nyarugenge,SectorC,Commercial,R2,499,10.530231952455193,210.04435378830624,3.2024320411928486,0.8371960581795546,57143152.32518808,114515.3353210182
3/00/05/01/3770,Rubavu,SectorD,Commercial,A1,542,2.1383130262464585,234.58102526980142,5.25385342205179,0.3820893506926507,31814493.749157637,58698.327950475345
3/07/05/01/2637,Rubavu,SectorB,Mixed-use,A1,255,13.208882968539907,190.43845318865368,10.955544887819334,0.49628972444612734,12677213.835880479,49714.56406227639
3/01/05/01/1151,Huye,SectorB,Residential,R2,708,3.6961428544193904,33.79753435786894,13.46693709588039,0.47991637091791894,26959254.096243657,38078.042508818726
3/03/05/01/1153,Gasabo,SectorA,Residential,A1,1063,8.672300961207892,212.30779829042814,11.890551086711271,0.7032940629074134,75000984.26323931,70555.95885535213
3/01/05/01/1441,Musanze,SectorB,Commercial,A1,798,8.313225695535214,7.1298843660967375,4.748945226189701,0.7417525789381243,46639937.11329177,58446.036482821764
3/09/05/01/3619,Nyarugenge,SectorD,Residential,C1,1417,12.054049275253258,96.11807841635701,11.483859928729329,0.9558346733628575,121497138.70552586,85742.51143650379
3/01/05/01/0191,Kicukiro,SectorD,Commercial,A1,201,3.5336773379328568,257.0436025440258,7.384167846720522,0.39778485952254167,17545597.058066983,87291.52765207454
3/00/05/01/1220,Huye,SectorA,Mixed-use,A1,933,4.004931480662,193.122341057369,7.591246436107664,0.7737753848083362,43371445.97214532,46486.00854463592
3/03/05/01/0703,Rubavu,SectorD,Commercial,C2,746,5.287750418064606,83.19897887987891,10.442886754516348,0.35429645495169143,43373357.30725607,58141.229634391515
3/04/05/01/1134,Kicukiro,SectorD,Commercial,R1,946,12.216401046134548,183.29231212942838,2.978142883023025,0.5958627652971362,84658600.06603016,89491.1205771989
3/06/05/01/1566,Huye,SectorA,Mixed-use,A1,1114,3.792164718185079,191.97554483783372,8.536004973631345,0.5060710589367361,48928437.33154219,43921.39796368239
3/02/05/01/3492,Huye,SectorD,Mixed-use,C2,737,6.233128460572768,211.86754329798296,2.9632032061058555,0.23349056234571927,30779735.273490455,41763.54853933576
3/04/05/01/2584,Gasabo,SectorA,Commercial,C1,1042,1.0174081441254281,230.85591878653875,11.096924889867882,0.2077847681244184,89701505.79628597,86085.89807704987
3/03/05/01/0393,Nyarugenge,SectorA,Agricultural,R2,1129,11.602342899882144,52.69307368990376,7.15350159701955,0.7746649402976031,56703676.77805082,50224.69156603261
3/08/05/01/4958,Musanze,SectorA,Residential,C1,1483,12.042792583420558,115.23575961803964,10.994381705777947,0.21299119355946516,56667683.87523309,38211.51980797916
3/02/05/01/0662,Musanze,SectorB,Agricultural,A1,873,3.349404339044401,40.507254981945884,1.0140712420857474,0.7792233510183371,22910194.521438397,26243.063598440316
3/07/05/01/1477,Kicukiro,SectorC,Mixed-use,C2,222,7.924256892137392,67.32280103108654,5.729752045354551,0.6348751747721356,17242989.559764117,77671.12414308162
3/01/05/01/0671,Kicukiro,SectorA,Commercial,A1,670,3.3000158058137297,236.03262212249066,1.8374679294898382,0.7079253273225303,62802664.82327628,93735.32063175565
3/06/05/01/3136,Nyarugenge,SectorD,Residential,C1,837,12.387864830029534,63.27544711680978,0.5344903235959464,0.9797486867907135,72777570.97930537,86950.50296213306
3/08/05/01/4858,Kicukiro,SectorC,Commercial,C1,599,13.643048605021988,189.90291454974567,14.648295083934952,0.39653582058222486,51258310.5801876,85573.13953286744
3/04/05/01/2104,Musanze,SectorB,Mixed-use,A1,1127,4.610099551027829,171.79400062539875,7.559486697380902,0.3625280306913672,51796387.70803806,45959.52769124939
3/02/05/01/1132,Rubavu,SectorB,Agricultural,C1,957,13.077452281240161,135.77949462794612,8.787945757918823,0.9808626659780151,27256552.261208188,28481.245831983477
3/03/05/01/3733,Nyarugenge,SectorA,Residential,R2,1075,9.929678851548983,237.16385503615555,11.298512484021252,0.774965754229674,89406105.71436678,83168.4704319691
3/06/05/01/1856,Kicukiro,SectorC,Agricultural,A1,1009,12.584240303714585,12.275788047913185,10.12985290210749,0.9459966996109916,42905724.914896294,42523.017755100394
3/03/05/01/1713,Gasabo,SectorB,Residential,A1,761,1.0696147945128884,204.97257053825624,8.248625806907423,0.4647703234867587,51118321.3245087,67172.56415835572
3/01/05/01/1171,Nyarugenge,SectorA,Residential,R1,1147,1.1448383506177993,189.72135176919892,10.558701391921618,0.7206421521147037,96616444.59648067,84234.0406246562
3/09/05/01/4559,Nyarugenge,SectorB,Residential,R3,1386,4.621779138910995,258.37303436828,4.634785528249274,0.5438908608503263,112973536.56975026,81510.48814556297
3/09/05/01/0039,Rubavu,SectorC,Residential,R2,774,14.745772436347435,252.48538311046218,12.90606927467513,0.40020108841269125,32892488.899531275,42496.755684148935
